id,sport,start,stop,distance,longitude,latitude,highest_temperature,lowest_temperature,highest_altitude,lowest_altitude,local_time,ascent_total,descent_total,calories,max_heart_rate,duration_moving,duration_total
1668332933.0,running,2022-11-13T09:48:53+0000,2022-11-13T10:24:51+0000,6321.82,-569830279.0,-186456451.0,29,25,1233.4,1197.0,2022-11-13T07:24:51,73.0,78.0,367.0,161.0,2153.196,2153.196
1681935597.0,running,2023-04-19T20:19:57+0000,2023-04-19T20:53:10+0000,6551.25,1654377016.0,-416417411.0,26,21,99.79999999999995,54.799999999999955,2023-04-20T06:23:10,38.0,55.0,382.0,171.0,1988.813,1988.813
1723882363.0,running,2024-08-17T08:12:43+0000,2024-08-17T12:58:02+0000,40197.64,-569825535.0,-186466344.0,33,21,1238.2,1122.0,2024-08-17T09:58:02,517.0,528.0,1607.0,146.0,15326.399,17105.785
1636443594.0,running,2021-11-09T07:39:54+0000,2021-11-09T08:28:19+0000,9015.41,-569830480.0,-186455784.0,27,22,1216.4,1197.4,2021-11-09T05:28:19,88.0,97.0,563.0,175.0,2899.934,2899.934
1650355016.0,running,2022-04-19T07:56:56+0000,2022-04-19T08:27:30+0000,5384.83,-569829993.0,-186456428.0,27,20,1214.6,1197.0,2022-04-19T05:27:30,54.0,58.0,312.0,167.0,1828.545,1828.545
1668946629.0,running,2022-11-20T12:17:09+0000,2022-11-20T13:31:10+0000,11455.14,-569830103.0,-186455968.0,33,27,1217.0,1201.2,2022-11-20T10:31:10,132.0,132.0,663.0,165.0,4436.57,4436.57
1723036583.0,hiking,2024-08-07T13:16:23+0000,2024-08-07T14:23:46+0000,1282.8,-859573857.0,-159763873.0,22,19,3788.6000000000004,3752.2,2024-08-07T09:23:46,40.0,44.0,97.0,132.0,2538.937,2538.937
1716450576.0,running,2024-05-23T07:49:36+0000,2024-05-23T10:01:59+0000,19485.77,-569826043.0,-186464751.0,29,20,1218.4,1147.0,2024-05-23T07:01:59,194.0,208.0,733.0,167.0,7931.826,7931.826
1693603186.0,running,2023-09-01T21:19:46+0000,2023-09-01T21:32:47+0000,2155.46,1654409241.0,-416413965.0,20,19,160.0,110.60000000000002,2023-09-02T07:02:47,55.0,6.0,141.0,163.0,775.937,775.937
1708155923.0,running,2024-02-17T07:45:23+0000,2024-02-17T11:09:15+0000,32320.74,-569825386.0,-186465410.0,31,25,1189.0,1172.4,2024-02-17T08:09:15,289.0,294.0,1398.0,173.0,12214.198,12214.198
1630569688.0,running,2021-09-02T08:01:28+0000,2021-09-02T08:56:06+0000,5324.58,-569829160.0,-186455429.0,28,20,1213.2,1201.2,2021-09-02T05:56:06,51.0,56.0,301.0,174.0,1773.066,1773.066
1693707011.0,walking,2023-09-03T02:10:11+0000,2023-09-03T02:34:10+0000,2350.64,1654647856.0,-416372672.0,31,30,185.79999999999995,138.0,2023-09-03T12:04:10,9.0,54.0,107.0,134.0,1431.666,1431.666
1656230529.0,running,2022-06-26T08:02:09+0000,2022-06-26T08:32:19+0000,5400.9,-569830624.0,-186456537.0,27,21,1209.2,1183.2,2022-06-26T05:32:19,40.0,59.0,331.0,173.0,1799.32,1799.32
